epoch,frame_dense_accuracy,frame_dense_f1,frame_dense_loss,frame_dense_precision,frame_dense_recall,loss,offset_dense_accuracy,offset_dense_f1,offset_dense_loss,offset_dense_precision,offset_dense_recall,onset_dense_accuracy,onset_dense_f1,onset_dense_loss,onset_dense_precision,onset_dense_recall,val_frame_dense_accuracy,val_frame_dense_f1,val_frame_dense_loss,val_frame_dense_precision,val_frame_dense_recall,val_loss,val_offset_dense_accuracy,val_offset_dense_f1,val_offset_dense_loss,val_offset_dense_precision,val_offset_dense_recall,val_onset_dense_accuracy,val_onset_dense_f1,val_onset_dense_loss,val_onset_dense_precision,val_onset_dense_recall,val_velocity_dense_loss,val_velocity_dense_mae,velocity_dense_loss,velocity_dense_mae
0,0.6204476356506348,0.05367135629057884,1.0449105501174927,0.03418714553117752,0.5008100271224976,2.657672643661499,0.6799958348274231,0.006918746046721935,0.761201024055481,0.0034678522497415543,0.33359000086784363,0.6922401189804077,0.006942434702068567,0.7555981874465942,0.003552135080099106,0.3285420835018158,0.755170464515686,0.0505160391330719,0.9835800528526306,0.037982791662216187,0.3472711741924286,2.477079391479492,0.8165526390075684,0.006609785370528698,0.6846104860305786,0.004167590755969286,0.22835387289524078,0.7540789842605591,0.006608685944229364,0.7202853560447693,0.003005190985277295,0.22125256061553955,0.17720673978328705,0.41061365604400635,0.1919257640838623,0.39038339257240295
1,0.75889652967453,0.06619435548782349,0.8616675138473511,0.05720555782318115,0.536439061164856,1.929465651512146,0.9503896236419678,0.008452781476080418,0.5183342099189758,0.0052919997833669186,0.07469198852777481,0.9477826952934265,0.008626479655504227,0.5172978043556213,0.005387603305280209,0.08033880591392517,0.813491940498352,0.050756119191646576,0.9212063550949097,0.0497744120657444,0.34258630871772766,2.1593751907348633,0.9767942428588867,0.0067870132625103,0.5812889933586121,0.0037786047905683517,0.022843942046165466,0.985767126083374,0.006641782820224762,0.5996917486190796,0.004326774273067713,0.0143737168982625,0.11437644809484482,0.3290473222732544,0.06433236598968506,0.22059756517410278
2,0.7972633838653564,0.07838202267885208,0.8101953268051147,0.06538437306880951,0.5132993459701538,1.7313578128814697,0.9882656335830688,0.011889333836734295,0.453909695148468,0.01097235456109047,0.028490759432315826,0.9867104291915894,0.011936556547880173,0.4534853398799896,0.010604542680084705,0.032597534358501434,0.811882495880127,0.053947724401950836,0.8870735168457031,0.054843999445438385,0.3856038749217987,1.981821894645691,0.9966250061988831,0.007725998293608427,0.5260151028633118,0.022624434903264046,0.00042778917122632265,0.9966848492622375,0.007151165045797825,0.5318268537521362,0.0,0.0,0.07381271570920944,0.2653506100177765,0.0275349710136652,0.1432097852230072
3,0.8091576099395752,0.0841275230050087,0.7841848731040955,0.07032164186239243,0.5208410620689392,1.6577719449996948,0.9903444051742554,0.014520923607051373,0.43262580037117004,0.01362053956836462,0.026779603213071823,0.9913439154624939,0.014281317591667175,0.4332575798034668,0.012479287572205067,0.020619438961148262,0.8140815496444702,0.05767762288451195,0.8683518767356873,0.05511023476719856,0.38245144486427307,1.8819019794464111,0.9963776469230652,0.008768514730036259,0.49458062648773193,0.02122015878558159,0.002053388161584735,0.9966848492622375,0.008831820450723171,0.4942989945411682,0.0,0.0,0.0493408739566803,0.2172507345676422,0.015407645143568516,0.10193213820457458
4,0.8127748966217041,0.08667010813951492,0.7585095167160034,0.07572291791439056,0.5555288195610046,1.6079421043395996,0.9905846118927002,0.01540469378232956,0.42222899198532104,0.012997599318623543,0.02455510012805462,0.991928219795227,0.015413565561175346,0.4217788577079773,0.012216405011713505,0.017967145889997482,0.8084357976913452,0.05980145186185837,0.8587213158607483,0.05656429007649422,0.40772566199302673,1.8273910284042358,0.9966199398040771,0.010268379002809525,0.47568628191947937,0.03265305981040001,0.000684462720528245,0.9966848492622375,0.010486481711268425,0.47518038749694824,0.0,0.0,0.035605788230895996,0.18374302983283997,0.010849297977983952,0.07863161712884903
5,0.819372296333313,0.08867302536964417,0.7325444221496582,0.08204235136508942,0.5860023498535156,1.5661598443984985,0.9897342920303345,0.015680762007832527,0.41479405760765076,0.01465636771172285,0.03165639936923981,0.9902511835098267,0.01574220322072506,0.41437944769859314,0.01438664086163044,0.028747433796525,0.8044631481170654,0.060132645070552826,0.8541315793991089,0.05637574568390846,0.41593509912490845,1.7968134880065918,0.9966785907745361,0.010953777469694614,0.4638272523880005,0.0,0.0,0.9966848492622375,0.010769687592983246,0.4649921655654907,0.0,0.0,0.027724798768758774,0.16073447465896606,0.008883984759449959,0.06472929567098618
6,0.8238866329193115,0.09011697769165039,0.7067540884017944,0.08870372921228409,0.6250574588775635,1.5264532566070557,0.9892575740814209,0.01629992201924324,0.4075390696525574,0.016077764332294464,0.03721765801310539,0.9897040128707886,0.016310248523950577,0.4081932604312897,0.015588096342980862,0.03388090431690216,0.8215122818946838,0.06135500967502594,0.8519177436828613,0.05639231577515602,0.37425294518470764,1.7777894735336304,0.9966848492622375,0.011350061744451523,0.45553743839263916,0.0,0.0,0.9966848492622375,0.010950212366878986,0.4589727520942688,0.0,0.0,0.02272314950823784,0.1438339352607727,0.00793359987437725,0.056013334542512894
7,0.8394339084625244,0.09278655797243118,0.6810908913612366,0.09854228794574738,0.6377657055854797,1.4888653755187988,0.9883245825767517,0.016787374392151833,0.40254849195480347,0.018523963168263435,0.04851129278540611,0.9897196292877197,0.01709752529859543,0.4015161395072937,0.016955820843577385,0.03687542676925659,0.832575261592865,0.06289859116077423,0.8521654605865479,0.056163642555475235,0.34553077816963196,1.7644535303115845,0.9966848492622375,0.011494394391775131,0.4492321014404297,0.0,0.0,0.9966848492622375,0.011164611205458641,0.4533762037754059,0.0,0.0,0.019359758123755455,0.1309887170791626,0.007419516798108816,0.05025327950716019
8,0.8435760736465454,0.09595974534749985,0.6542254090309143,0.10569433122873306,0.6750366687774658,1.4508404731750488,0.9864523410797119,0.01755238138139248,0.3975406289100647,0.019933996722102165,0.06408282369375229,0.9877670407295227,0.017894545570015907,0.39551588892936707,0.019852783530950546,0.05561259388923645,0.8447296619415283,0.06395867466926575,0.8539266586303711,0.0554632842540741,0.3114231824874878,1.754652500152588,0.9966848492622375,0.011806214228272438,0.4435200095176697,0.0,0.0,0.9966848492622375,0.011410275474190712,0.4486903250217438,0.0,0.0,0.017031127586960793,0.12107954174280167,0.0071172635070979595,0.046283505856990814
9,0.8563357591629028,0.09944818913936615,0.6311678886413574,0.11608551442623138,0.6870225071907043,1.41768479347229,0.9826352000236511,0.018129529431462288,0.39183884859085083,0.019833268597722054,0.08752566576004028,0.9836713075637817,0.018581056967377663,0.3912110924720764,0.019681330770254135,0.08042436838150024,0.8590505123138428,0.06481456011533737,0.8554592132568359,0.05649524927139282,0.2827557623386383,1.7482225894927979,0.9966848492622375,0.012055163271725178,0.439597487449646,0.0,0.0,0.9966848492622375,0.011500779539346695,0.4454973042011261,0.0,0.0,0.015337355434894562,0.11316750943660736,0.006933920085430145,0.043479468673467636
10,0.8652505874633789,0.102953240275383,0.6069004535675049,0.12633629143238068,0.7100418210029602,1.3816715478897095,0.9832359552383423,0.019123056903481483,0.3871918320655823,0.02253594808280468,0.0957392230629921,0.9827480316162109,0.019704507663846016,0.3841773271560669,0.02198614738881588,0.09668035805225372,0.8524632453918457,0.0665070191025734,0.8548853993415833,0.0578303262591362,0.3069353401660919,1.7396602630615234,0.9966848492622375,0.012241806834936142,0.4357275068759918,0.0,0.0,0.9966848492622375,0.011768045835196972,0.4420172870159149,0.0,0.0,0.014060353860259056,0.10670619457960129,0.006803807336837053,0.041405320167541504
11,0.8768978118896484,0.10716000944375992,0.5830974578857422,0.13885509967803955,0.7210425138473511,1.345056176185608,0.982986330986023,0.01967651955783367,0.38174113631248474,0.023726874962449074,0.10292607545852661,0.9824198484420776,0.02045256271958351,0.3768586218357086,0.025439241901040077,0.11533196270465851,0.8576740026473999,0.0678677037358284,0.8577867746353149,0.05699100345373154,0.2889730632305145,1.7395048141479492,0.9966848492622375,0.012344194576144218,0.43557971715927124,0.0,0.0,0.9966848492622375,0.012135927565395832,0.43961694836616516,0.0,0.0,0.013042937964200974,0.10117893666028976,0.00671805627644062,0.03984927758574486
